state_code,state_name,total_population,total_households,n_districts,urban_population,rural_population,area_sqkm,pop_per_sqkm,total_towns,total_villages,literate_persons_2011,total_workers_2011,graduate_above_2011,permanent_houses_2001,per_capita_income_2011,total_ucc,investors_last_year,investors_last_5yr,investors_pre_2021,investors_per_lakh
1,Jammu & Kashmir,12541302,2119718,22,3433242,9108060,101387.0,123.7,122,6337,7067233,4322713,653764,426.53999999999996,51775,1411671,285561,1147659,264012,11256.2
2,Himachal Pradesh,6864602,1483280,12,688552,6176050,55673.00204080171,123.3,59,17882,5039736,3559422,446609,679.1,87721,1554778,307610,1276727,278051,22649.2
3,Punjab,27743338,5513071,20,10399146,17344192,50362.00634584324,550.9,217,12168,18707137,9897362,1760846,1365.1,85577,6339773,1139128,4863406,1476367,22851.5
4,Chandigarh,1055450,241173,1,1026459,28991,114.0,9258.3,6,5,805438,404136,194453,89.8,158967,525989,74482,327632,198357,49835.5
5,Uttarakhand,10086292,2056975,13,3049338,7036954,53482.99949760492,188.6,115,15745,6880953,3872275,910288,992.7,100314,2547665,493796,2025081,522584,25258.7
6,Haryana,25351462,4857524,21,8842103,16509359,44212.00193643945,573.4,154,6642,16598988,8916508,1877085,1249.4,106085,8333464,1364816,6279264,2054200,32871.7
7,Delhi,16787941,3435999,9,16368899,419042,1483.0,11320.3,113,103,12737767,5587049,2757844,0.0,185001,10993171,1618052,7175369,3817802,65482.5
8,Rajasthan,68548437,12711146,33,17048085,51500352,342239.0,200.3,297,43264,38275282,29886255,3063282,1797.9,57192,14851123,2512427,11812880,3038243,21665.2
9,Uttar Pradesh,199812341,33448035,71,44495063,155317278,240928.0,829.3,915,97814,114397555,65814715,9919838,3458.7,32002,29095168,5572380,23514873,5580295,14561.2
10,Bihar,104099452,18913565,38,11758016,92341436,94163.0,1105.5,199,39073,52504553,34724987,3061676,1396.6000000000001,21750,11250883,2306439,9418960,1831923,10807.8
11,Sikkim,610577,129006,4,153578,456999,7096.0,86.0,9,425,444952,308138,32669,0.0,158667,80456,18460,61588,18868,13177.0
12,Arunachal Pradesh,1383727,270577,16,317369,1066358,83743.00197201758,16.5,27,5258,766005,587657,53606,269.6,73540,115918,28201,97436,18482,8377.2
13,Nagaland,1978502,396002,11,570966,1407536,16579.0,119.3,26,1400,1342434,974122,89718,114.1,53010,127358,29739,105716,21642,6437.1
14,Manipur,2855794,557859,9,834154,2021640,22327.0,127.9,51,2515,1908476,1304610,225620,51.9,39762,263018,52532,208136,54882,9210.0
15,Mizoram,1097206,222853,8,571771,525435,21081.0,52.0,23,704,848175,486705,49621,290.0,57654,55752,14790,45784,9968,5081.3
16,Tripura,3673917,855556,4,961453,2712464,10486.0,350.4,42,863,2804783,1469521,137812,32.2,47155,411063,91613,341077,69986,11188.7
17,Meghalaya,2966889,548059,7,595450,2371439,22429.0,132.3,22,6459,1785005,1185619,90519,120.30000000000001,59794,156497,36620,125419,31078,5274.8
18,Assam,31205576,6406471,27,4398542,26807034,78438.0,397.8,214,25372,19177977,11969690,1011345,365.2,41142,5140436,708182,4572956,567480,16472.8
19,West Bengal,91276115,20380315,19,29093002,62183113,88751.99976377455,1028.4,909,37469,61538281,34756355,4827817,301.1,51543,14999260,2701162,10615597,4383663,16432.8
20,Jharkhand,32988134,6254781,24,7933061,25055073,79716.00982915914,413.8,228,29492,18328069,13098274,1328477,303.6,41254,4479211,843975,3474818,1004393,13578.2
21,Odisha,41974218,9637820,30,7003656,34970562,155707.0,269.6,223,47675,26742595,17541589,1783797,626.9,48387,5811061,1030508,4653568,1157493,13844.4
22,Chhattisgarh,25545198,5650724,18,5937237,19607961,135192.0,189.0,182,19567,15379922,12180225,1018853,283.1,55177,3138130,573287,2547723,590407,12284.6
23,Madhya Pradesh,72626809,15093256,50,20069405,52557404,308252.0,235.6,476,51929,42851169,31574133,3222802,1751.7,38497,13077962,2116459,10685172,2392790,18007.1
24,Gujarat,60439692,12248428,26,25745083,34694609,196244.00048503783,308.0,348,17843,41093358,24767747,3174158,1478.8,87481,22103322,3457528,14448906,7654416,36570.9
25,Daman & Diu,243247,60956,2,182851,60396,111.0,2191.4,8,19,188406,121271,12802,188.8,229064,50679,8220,37646,13033,20834.4
26,Dadra & Nagar Haveli,343709,76458,1,160595,183114,491.0,700.0,6,65,223230,157161,19174,0.0,159002,105045,18239,81669,23376,30562.2
27,Maharashtra,112374333,24421519,35,50818259,61556074,307713.0,365.2,534,40959,81554290,49427878,8639081,1435.8,99597,43227907,6119834,29668156,13559751,38467.8
28,Andhra Pradesh,84580777,21022588,23,28219075,56361702,275044.99966753647,307.5,353,26286,50556760,39422906,5577387,963.6,69000,18000521,3465726,12346964,5653557,21282.0
29,Karnataka,61095297,13357027,30,23625962,37469335,191791.0,318.6,347,27397,40647322,27872597,4043647,1140.2,90263,13729094,2367887,9502656,4226438,22471.6
30,Goa,1458545,343611,2,906814,551731,3702.0,394.0,70,320,1165487,577248,146828,140.60000000000002,259444,501795,81037,336575,165220,34403.8
31,Lakshadweep,64473,11574,1,50332,14141,30.0,2149.1,6,6,52553,18753,2302,95.3,79696,5376,1518,4395,981,8338.4
32,Kerala,33406061,7853754,14,15934926,17471135,38852.0,859.8,520,1017,28135824,11619063,2531321,883.6,97912,5959555,1095030,3817230,2142325,17839.7
33,Tamil Nadu,72147030,18524982,32,34917440,37229590,130059.99092924153,554.7,1097,15049,51837507,32884681,5457742,1304.6,93112,13268183,2407488,8506417,4761766,18390.5
34,Puducherry,1247953,302450,4,852753,395200,490.0,2546.8,10,90,957309,444968,142029,46.6,119649,239372,45434,156543,82829,19181.2
35,Andaman & Nicobar,380581,94551,3,143488,237093,8249.0,46.1,5,396,294281,152535,24159,28.7,89100,63379,12233,51113,12266,16653.2
