Country,Year,Information Source,Rank,"Percentage Of Source Information (UOM:%(Percentage)), Scaling Factor:1"
India,"Calendar Year (Jan - Dec), 2015",Word of Mouth,Rank I,5.1
India,"Calendar Year (Jan - Dec), 2015",Word of Mouth,Rank II,29.1
India,"Calendar Year (Jan - Dec), 2015",Word of Mouth,Rank III,8.6
India,"Calendar Year (Jan - Dec), 2015",Mass Media,Rank I,15.9
India,"Calendar Year (Jan - Dec), 2015",Mass Media,Rank II,27.4
India,"Calendar Year (Jan - Dec), 2015",Mass Media,Rank III,6.1
India,"Calendar Year (Jan - Dec), 2015",Social Media,Rank I,40.6
India,"Calendar Year (Jan - Dec), 2015",Social Media,Rank II,17.9
India,"Calendar Year (Jan - Dec), 2015",Social Media,Rank III,1.7
India,"Calendar Year (Jan - Dec), 2015",Company Website,Rank I,32.8
India,"Calendar Year (Jan - Dec), 2015",Company Website,Rank II,13.6
India,"Calendar Year (Jan - Dec), 2015",Company Website,Rank III,5.7
India,"Calendar Year (Jan - Dec), 2015",Other Internet Sources,Rank I,2.5
India,"Calendar Year (Jan - Dec), 2015",Other Internet Sources,Rank II,6.1
India,"Calendar Year (Jan - Dec), 2015",Other Internet Sources,Rank III,9.4
India,"Calendar Year (Jan - Dec), 2015",Internet Forums,Rank I,2.2
India,"Calendar Year (Jan - Dec), 2015",Internet Forums,Rank II,0.3
India,"Calendar Year (Jan - Dec), 2015",Internet Forums,Rank III,1.1
India,"Calendar Year (Jan - Dec), 2015",Tips,Rank I,0.9
India,"Calendar Year (Jan - Dec), 2015",Tips,Rank II,4.1
India,"Calendar Year (Jan - Dec), 2015",Tips,Rank III,0.3
