Country,Year,Rank,Reasons For Low Participation,"Number Of Low Participations (UOM:Number), Scaling Factor:1"
India,"Calendar Year (Jan - Dec), 2015",Rank I,Safer Alternatives Available,297
India,"Calendar Year (Jan - Dec), 2015",Rank I,No Guaranteed Returns,272
India,"Calendar Year (Jan - Dec), 2015",Rank I,Fear of Losing Money,187
India,"Calendar Year (Jan - Dec), 2015",Rank I,Volatility,112
India,"Calendar Year (Jan - Dec), 2015",Rank I,Lack of Corporate Governance,99
India,"Calendar Year (Jan - Dec), 2015",Rank I,Accounting Malpractice,37
India,"Calendar Year (Jan - Dec), 2015",Rank I,Market Manipulation,10
India,"Calendar Year (Jan - Dec), 2015",Rank II,Safer Alternatives Available,157
India,"Calendar Year (Jan - Dec), 2015",Rank II,No Guaranteed Returns,158
India,"Calendar Year (Jan - Dec), 2015",Rank II,Fear of Losing Money,226
India,"Calendar Year (Jan - Dec), 2015",Rank II,Volatility,251
India,"Calendar Year (Jan - Dec), 2015",Rank II,Lack of Corporate Governance,88
India,"Calendar Year (Jan - Dec), 2015",Rank II,Accounting Malpractice,69
India,"Calendar Year (Jan - Dec), 2015",Rank II,Market Manipulation,18
India,"Calendar Year (Jan - Dec), 2015",Rank III,Safer Alternatives Available,103
India,"Calendar Year (Jan - Dec), 2015",Rank III,No Guaranteed Returns,103
India,"Calendar Year (Jan - Dec), 2015",Rank III,Fear of Losing Money,70
India,"Calendar Year (Jan - Dec), 2015",Rank III,Volatility,103
India,"Calendar Year (Jan - Dec), 2015",Rank III,Lack of Corporate Governance,73
India,"Calendar Year (Jan - Dec), 2015",Rank III,Accounting Malpractice,81
India,"Calendar Year (Jan - Dec), 2015",Rank III,Market Manipulation,12
