country,year,rank,reason,n
India,2025,Rank I,Fear of losing money due to market risks,5228
India,2025,Rank I,Lack of knowledge about stock market investing,4495
India,2025,Rank I,Lack of trust in the Stocks/Shares,4258
India,2025,Rank I,I don't know how to start investing in stock,3798
India,2025,Rank I,Regulatory concerns or policy changes affecting stock investments,3048
India,2025,Rank I,Confusion cause by information overload from different sources,3005
India,2025,Rank I,Uncertainty about returns and performance,2737
India,2025,Rank I,Requires large amount to start investing,2704
India,2025,Rank I,There are too many options,2347
India,2025,Rank I,Better returns from other investment options,2283
India,2025,Rank I,High fees and charges,2045
India,2025,Rank I,I don't have enough money to invest,1688
India,2025,Rank I,"Advised by family, friends, or financial advisors not to invest",1106
India,2025,Rank I,Takes time to receive invested money after selling,838
India,2025,Rank I,Lack of time to actively manage investments,806
India,2025,Rank I,Requires too many documents,667
India,2025,Rank I,Lack of availability of investment platform in local language,357
India,2025,Rank I,Other (please specify):,13
India,2025,Rank I,It's for long term investment,0
