country,year,occupation,pct_non_investor,pct_investor
India,2025,Officer / Executive - Middle /Senior,43.7,56.3
India,2025,Businessmen/Industrialist with 9 or less employees under him/her,46.5,53.5
India,2025,Officer / Executive - Junior,48.1,51.9
India,2025,Businessmen/Industrialist with no employees under him/her,55.9,44.1
India,2025,Supervisory Level,56.5,43.5
India,2025,"Self-employed professional like Doctors, Lawyers etc.",57.8,42.2
India,2025,Businessmen/Industrialist with 10 or more employees under him/her,57.8,42.2
India,2025,"Shop Owner- operate from a permanent establishment e.g. wholesalers, distributors etc.",61.1,38.9
India,2025,Service (Urban) & CWE Education Grad/Post Grad Prof or Post Grad General,63.9,36.1
India,2025,Clerk / Salesman,65.1,34.9
India,2025,Service (Urban) & CWE Education 10 to Graduate,66.7,33.3
India,2025,Trader / Shopkeeper,66.9,33.1
India,2025,Doctor,68.4,31.6
India,2025,Teacher,73.4,26.6
India,2025,Self Employed Professional,75.1,24.9
India,2025,Service (Rural In any village) & CWE Education Grad/Post Grad Prof or Post Grad General,75.5,24.5
India,2025,Postman,77.8,22.2
India,2025,Retired,78.2,21.8
India,2025,Student,78.9,21.1
India,2025,Service (Rural In any village) & CWE Education illiterate to 9th standard,79.2,20.8
India,2025,"Petty trader- street vendor, drivers owning vehicles etc.",79.5,20.5
India,2025,Service (Rural In any village) & CWE Education 10 to Graduate,79.7,20.3
India,2025,Service (Urban) & CWE Education illiterate to 9th standard,80.0,20.0
India,2025,Owner Of Poultry,81.3,18.7
India,2025,Skilled worker like electrician/Mechanic etc.,81.5,18.5
India,2025,Owner Farmer,84.8,15.2
India,2025,Unemployed,86.1,13.9
India,2025,Homemaker / Housewife,86.2,13.8
India,2025,Others (Specify),86.5,13.5
India,2025,Artisan / Skilled Labourer,87.1,12.9
India,2025,Owner Of Livestock,89.6,10.4
India,2025,Leased Farmer,89.6,10.4
India,2025,Unskilled worker like Cleaner/housemaids etc.,89.8,10.2
India,2025,Agricultural Worker,91.6,8.4
India,2025,Unskilled Labourer (Other Than Agriculture),91.7,8.3
India,2025,Owner Of Fisheries,93.8,6.2
