Instrument,Duration_Code,Duration_Label,Count,Percentage
equity,3.0,Long term,11329,32.63336789952759
equity,2.0,Mid term,11135,32.0745477589584
equity,1.0,Short term,9146,26.345201060029954
equity,0.0,Don't Know,3106,8.946883281484041
fo,2.0,Mid term,3584,34.4714821583149
fo,1.0,Short term,3359,32.307396364335865
fo,3.0,Long term,1859,17.880157737808982
fo,0.0,Don't Know,1595,15.340963739540253
reits,3.0,Long term,5093,39.43171260452152
reits,2.0,Mid term,3890,30.11768349334159
reits,1.0,Short term,2342,18.132548776711054
reits,0.0,Don't Know,1591,12.318055125425827
corp_bonds,2.0,Mid term,3220,33.271337053110145
corp_bonds,3.0,Long term,2889,29.851208927464352
corp_bonds,1.0,Short term,1935,19.99380037197768
corp_bonds,0.0,Don't Know,1634,16.88365364744782
