characteristic,category,participation_rate,sample_size
gender,1,0.3082445904610853,70616
gender,2,0.1575462461998248,38814
life_stage,1,0.2432344243907413,49035
life_stage,2,0.28102133303857635,45235
life_stage,3,0.2288770888645947,12806
life_stage,4,0.13254035683942225,2354
is_urban,False,0.1763438875042309,32499
is_urban,True,0.28793334286568484,76931
zone,EAST,0.22808189758029876,20953
zone,NORTH,0.24055372744808806,26439
zone,SOUTH,0.2684597453828223,27885
zone,WEST,0.27104500336720055,34153
risk_tolerance_preference,1,0.21483110894900484,47279
risk_tolerance_preference,2,0.258255033557047,37250
risk_tolerance_preference,3,0.32548893618730174,24901
income_quintile,"(7499.999, 12500.0]",0.10656970912738215,27916
income_quintile,"(12500.0, 17500.0]",0.18866726628220729,18901
income_quintile,"(17500.0, 25000.0]",0.27332324760463944,19830
income_quintile,"(25000.0, 35000.0]",0.3639349270602612,13093
income_quintile,"(35000.0, 150000.0]",0.4758990467937608,18464
