Feature,Coefficient,Std_Error_HC3,Z_Stat,P_Value,CI_Lower_95,CI_Upper_95,Odds Ratio,OR_CI_Lower,OR_CI_Upper,Significance
n_products_aware,0.7968187952499483,0.012228241591523423,65.16217309627743,0.0,0.7728518821363076,0.8207857083635889,2.218472276495234,2.1659344438776444,2.2722844892603655,***
log_income,0.47179908278362853,0.012628086698185806,37.36108993070255,1.6749724018242706e-305,0.44704848766153504,0.496549677905722,1.6028753061274925,1.5636901171254332,1.643042453779997,***
education_years,0.44198988330302136,0.012403997293805065,35.63285873367327,4.342713920397567e-278,0.41767849534283114,0.4663012712632116,1.5558000007973236,1.518432412824941,1.5940871796708755,***
gender_male,0.42291460400694125,0.012475364228954833,33.89998049318456,6.666071091688629e-252,0.3984633394241705,0.447365868589712,1.526403941620263,1.489534029882526,1.564186481310284,***
is_urban,0.37491336663391195,0.011712973568985612,32.00838492683296,8.335555667905779e-225,0.3519563602868306,0.3978703729809933,1.4548653692742688,1.4218464733923883,1.4886510480020196,***
risk_tolerance_preference,0.15722019452245187,0.011258540785832837,13.96452679909368,2.5660408998499213e-44,0.13515386006374422,0.17928652898115952,1.1702532688924552,1.1447128964018707,1.1963634878738132,***
lifestage_millennial,0.11686599206121322,0.01193712142850786,9.790131796943735,1.2413397353751356e-22,0.09346966398225649,0.14026232014016995,1.123968798855903,1.0979772945773842,1.1505755784210756,***
zone_west,0.021025550158019244,0.016212178066332125,1.2968985457717777,0.19466609695052461,-0.010749734962941935,0.052800835278980426,1.0212481443556558,0.989307836958976,1.0542196608446748,
lifestage_genx,-0.007397028395189088,0.012326265830114393,-0.6001029425405829,0.5484376316445538,-0.03155606548608001,0.01676200869570184,0.9926302622879063,0.9689366310276639,1.0169032793865196,
lifestage_boomer,-0.09757285509029506,0.014870207692904274,-6.561633643950691,5.3221444743933975e-11,-0.12671792661101788,-0.06842778356957224,0.9070362569401303,0.8809821391702338,0.9338608977689927,***
zone_north,-0.1627979318608552,0.015243848072252647,-10.67958241837803,1.2684092500460697e-26,-0.19267532506827073,-0.13292053865343967,0.8497628810712906,0.8247497062283708,0.8755346605078194,***
zone_south,-0.17226993954052922,0.01606675614709585,-10.72213569206799,8.013134775233114e-27,-0.2037602029372246,-0.14077967614383383,0.8417519203709974,0.8156579401161974,0.8686806816927737,***
